PROYECTO,Tipo ,N° Departamento,N° Departamento.1,Estado MS,Broker ,Fecha Reserva,Tiempo transcurrido ,Fecha Promesa ,Arriendo,Fecha Inicio C. Arriendo,Fecha Fin C. Arriendo,Valor Arriendo,Estado Arriendo,Orientación,Tipología,M2 Terraza,M2 Dpto,Total M2,Precio,Precio Pie Regalo,Precio de Pie Regalo + 24 Cuotas,Precio de Pie Regalo + 36 Cuotas,Precio de Pie Regalo + 48 Cuotas,Precio de Pie Regalo + 60 Cuotas,Unidad_Unificada,Precio_UF_Unificado,Estado_Unificado,Tipologia_Unificada,M2_Total_Unificado,Proyecto_Unificado,Archivo_Origen,Unnamed: 0,Depto,Tipo,Caract.,Orientacion,"M2
 Útil.","M2
 Terraza",M2 total,Precio Con Bono Pie 15%,Estado,Condicion,Unnamed: 11,Unnamed: 12,Número del producto,Tipo Unidad,Programa,Grupo,Piso Producto,Proyecto,Superficie Vendible,Superficie Comercial,Superficie Interior,Superficie de Terraza,Precio LISTA,OBSERVACIONES
ARMONÍA,DEPARTAMENTO,201.0,201.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,201,0.0,,,,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,202.0,202.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,202,0.0,,,,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,203.0,203.0,PROMESADO,,,,,,,,,,ORIENTE,1.5D+1B,6.54,40.33,46.87,2470.82,2745.355556,2780.106892,2787.163001,2801.38322,2808.547883,203,2470.82,PROMESADO,1.5D+1B,46.87,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,204.0,204.0,PROMESADO,,,,,,,,,,ORIENTE,1.5D+1B,6.54,40.33,46.87,2374.54,2638.377778,2671.774965,2678.55612,2692.222222,2699.107701,204,2374.54,PROMESADO,1.5D+1B,46.87,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,205.0,205.0,DISPONIBLE,,,,,,,,,,SURORIENTE,2D+2B,8.15,49.9,58.05,2887.14,3207.933333,3248.540084,3256.78511,3273.401361,3281.773231,205,2887.14,DISPONIBLE,2D+2B,58.05,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,206.0,206.0,PROMESADO,,,,,,,,,,SURPONIENTE,2D+2B,8.01,49.55,57.56,2860.65,3178.5,3218.734177,3226.903553,3243.367347,3251.662404,206,2860.65,PROMESADO,2D+2B,57.56,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,207.0,207.0,PROMESADO,,,,,,,,,,PONIENTE,1D+1B,8.08,32.14,40.22,2314.42,2571.577778,2604.129395,2610.738861,2624.058957,2630.770105,207,2314.42,PROMESADO,1D+1B,40.22,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,208.0,208.0,PROMESADO,BD,2025-09-04,,,,,,,,PONIENTE,1D+1B,s,32.14,36.34,2143.01,2381.122222,2411.26301,2417.382967,2429.716553,2435.930662,208,2143.01,PROMESADO,1D+1B,36.34,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,209.0,209.0,PROMESADO,,,,,,,,,,ORIENTE,1.5D+1B,6.54,40.43,46.97,2842.99,3158.877778,3198.863572,3206.982516,3223.344671,3231.588519,209,2842.99,PROMESADO,1.5D+1B,46.97,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,210.0,210.0,PROMESADO,,,,,,,,,,SUR,1D+1B,4.34,31.85,36.19,2116.09,2351.211111,2380.973277,2387.016356,2399.195011,2405.33106,210,2116.09,PROMESADO,1D+1B,36.19,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,211.0,211.0,PROMESADO,,,,,,,,,,SURPONIENTE,2D+2B,7.84,56.72,64.56,3248.17,3609.077778,3654.762307,3664.038353,3682.732426,3692.151179,211,3248.17,PROMESADO,2D+2B,64.56,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,212.0,212.0,PROMESADO,,,,,,,,,,NORPONIENTE,2D+2B,7.84,56.72,64.56,3133.15,3481.277778,3525.344585,3534.29216,3552.324263,3561.409491,212,3133.15,PROMESADO,2D+2B,64.56,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,213.0,213.0,PROMESADO,,,,,,,,,,NORTE,1.5D+1B,6.68,39.98,46.66,2522.83,2803.144444,2838.627286,2845.831923,2860.351474,2867.666951,213,2522.83,PROMESADO,1.5D+1B,46.66,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,214.0,214.0,RESERVADO,CI,2025-12-22,23.0,,,,,,,NORORIENTE,3D+2B,7.45,65.47,72.92,3478.35,3864.833333,3913.755274,3923.688663,3943.707483,3953.793691,214,3478.35,RESERVADO,3D+2B,72.92,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,301.0,301.0,PROMESADO,AM,2025-10-07,,,Arrendado,2024-09-09,2025-09-08,270000.0,Por Vencer,ORIENTE,1D+1B,8.08,32.36,40.44,3051.43,3390.477778,3433.395218,3442.109419,3459.671202,3468.519466,301,3051.43,PROMESADO,1D+1B,40.44,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,302.0,302.0,PROMESADO,,,,,,,,,,ORIENTE,1D+1B,8.08,32.15,40.23,2374.49,2638.322222,2671.718706,2678.499718,2692.165533,2699.050867,302,2374.49,PROMESADO,1D+1B,40.23,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,303.0,303.0,PROMESADO,BD,2025-08-20,,,Arrendado,2024-09-24,2025-09-23,320000.0,Por Vencer,ORIENTE,1.5D+1B,6.54,40.32,46.86,2385.31,2650.344444,2683.893108,2690.70502,2704.433107,2711.349815,303,2385.31,PROMESADO,1.5D+1B,46.86,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,304.0,304.0,PROMESADO,,,,,Arrendado,2024-09-27,2025-09-26,320000.0,Por Vencer,ORIENTE,1.5D+1B,6.54,40.32,46.86,2385.31,2650.344444,2683.893108,2690.70502,2704.433107,2711.349815,304,2385.31,PROMESADO,1.5D+1B,46.86,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,305.0,305.0,PROMESADO,CI,2025-10-07,,2025-11-06 00:00:00,,,,,,SURORIENTE,2D+2B,8.15,49.69,57.84,2897.91,3219.9,3260.658228,3268.93401,3285.612245,3294.015345,305,2897.91,PROMESADO,2D+2B,57.84,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,306.0,306.0,PROMESADO,AM,2025-09-26,,2025-11-06 00:00:00,,,,,,SURPONIENTE,2D+2B,8.01,49.48,57.49,2876.37,3195.966667,3236.421941,3244.63621,3261.190476,3269.531117,306,2876.37,PROMESADO,2D+2B,57.49,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,307.0,307.0,PROMESADO,,,,,,,,,,PONIENTE,1D+1B,8.08,32.0,40.08,2310.06,2566.733333,2599.223629,2605.820643,2619.115646,2625.814152,307,2310.06,PROMESADO,1D+1B,40.08,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,308.0,308.0,PROMESADO,,,,,,,,,,PONIENTE,1D+1B,4.2,32.0,36.2,2111.57,2346.188889,2375.887482,2381.917654,2394.070295,2400.193237,308,2111.57,PROMESADO,1D+1B,36.2,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
ARMONÍA,DEPARTAMENTO,309.0,309.0,PROMESADO,,,,,,,,,,PONIENTE,1D+1B,4.2,32.0,36.2,2067.11,2296.788889,2325.862166,2331.765369,2343.662132,2349.656152,309,2067.11,PROMESADO,1D+1B,36.2,Armonía,Stock Armonía.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,
